name,general,descrip
Defensive Driving,social sciences ,Application is designed to educate about defensive drivinghow to use these tips and strategies to create a safer place- for drivers and all those who use the roads. Get a glimpse into the specifics of improving your driving skills and share them with one and all.
SkySafari - Astronomy App,natural sciences ,"Es un poderoso planetario que cabe en su bolsillo, pone el universo al alcance de su mano y es increíblemente fácil de usar. Simplemente sostenga su dispositivo en el cielo y localice rápidamente planetas, constelaciones, satélites y millones de estrellas y objetos de cielo profundo. Repleto de información interactiva y gráficos ricos, descubra por qué SkySafari es su compañero perfecto para observar las estrellas bajo el cielo nocturno."
"Play, Nursery, LKG, UKG Kids",others,"All in one for children to learn with the following important topics: Numbers 1-20 with pictures, Alphabets with pictures, Animals, Birds, Fruits, Vegetables, Shapes, Body parts, Colors, Flowers."
Powershell Training,applied science,Powershell is a scripting language which is useful to automate the tasks in Windows and other environments. This app is intended to help the aspirants who want to learn from basics. This app is useful for both beginners and advanced learners.
Learn Fruits and Vegetables,natural sciences ,"It is a nice, simple, fun, and colorful game for toddlers and kids. Your children can watch wonderful images of fruits and vegetables, all while learning their names."
Learning App For Seniors - Empowerji,applied science,"The Empowerji App is a technology learning App which helps older adults learn how to use everyday Apps, Sitesmore so that they can live happy self-reliant lives. This learning App is available inlanguages English, Hindi, Marathi and Gujarati. Finally EVERYONE can learn at their own pace. Featuring simple user interface which is custom designed to suit new learners especially senior citizens. Learn from our simple step by step videos and become tech savvy."
Mastering the Numbers ( Math Game ),math,"Another Math game and not like a typical basic arithmetic Q/A games. Improve your Math skill with this simple Ascending order game. All you need to do is move the numbers up and down with minor calculations on your beautiful mind. This game is designed in the motive of brush up/activate your brain and it is meant for people of all ages like kids, students, PhD scholars."
Centre For Maths,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more- a perfect on the go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
Masters Language School Mobile App,others,"This is the official app for Masters Language Schoolyou have to be Masters Student to access the app. Browse the content of your courses, even when offline, Receive instant notifications of messages and other events,  Quickly find and contact other people in your courses, Upload images, audio, videos and other files from your mobile device, View your course grades, and more."
IMO Signs and Symbols,social sciences ,Most commonly used IMO photoluminescent safety signs and symbols on board ships. More than 100 images. Includes the required locations of each safety sign/symbol. Includes IMDG code signs.
"Antonine Sisters School - Mar Elias, Ghazir",others,"Share with parents their kids' academic progressachievements, Encourage your students to document their achievements, Promote your club activities, Communicate with your community."
"KC Public School, Pandoga",others,Pandoga's official mobile app to keep parents more involved in their children's progress in school by getting all child-related updates on their smartphone. Parents can also send messages and discuss queries related to their children with teachers directly through this app.
RadioXtudy,natural sciences ,"Esta aplicación tiene como objetivo ayudar a los estudiantes graduados en odontología y cirujanos dentales en el estudio de la interpretación radiográfica. El RadioXtudy presenta una interfaz organizada, directa y funcional, que contiene temas divididos didáctica para el estudio, incluyen: Anatomía, Patología, Las anomalías dentales."
Techno Academy,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more- a perfect on- the- go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
RotationMatrix,applied science,"A rotation matrix is a matrix that is used to perform a rotation in Euclidean space. This base element is commonly used robotics, drone, OpenGL, flight dynamics and other scientific themes, where need to calculate some form of yaw, pitch, roll on one or more axis. With this tool you can easily calculate the rotation matrix from a given angle on X, Y, Z axis."
Counting Numbers 1-100 Spanish,math,"Is very important for you who are interested in Spanish. The Spanish numbering app is numbered fromto 100. Spanish has a basic number fromto 100, so you can learn Spanish more easily. Can learn Spanish anywhere, anytime. Suitable for everyone. It can be used in everyday life and is a good foundation for learning advanced Spanish."
5S-Game training,others,"It is a methodology that helps organizations to establish a permanent discipline of order and cleanliness in the workplace with the active participation of all staff. The standardization of processes, which uses elements of visual control, guarantees that the improvements are maintained over time."
Emu42 for Android,math,This project ports the Windows application Emu42 written in C to Android. This win32 layer will allow to easily update from the original Emu42 source code. It can open or save the exact same state files than the original Windows application.
wheat cultivation,natural sciences ,"Is a group of tribal cereal crops grains that are rich in carbohydrates. Usually wheat flour is used to produce animal feed, or fermented to produce alcohol."
ECPI Mobile 2.5,others,"This rich, mobile application was developed for current ECPI students, faculty, staff and virtually anyone interested in participating in the world of ECPI or the world of technology at large. Users can check and post grades, participate in classes, watch and listen to course sessions, communicate on many of the social networks of ECPI, get directions to a specific campus, and so much more. With the press of a button, you can be inside your class, interacting with a vPub or textbook, watching a video, communicating with a classmate or colleague on a social network, or checking to see what you are scheduled for next term."
mPower PL,others,"The app facilitates the followingViewing video and document product catalogs online, Saving the catalogs offline for referencing the same while there's low or no internet connectivity, Sharing the catalogs with peers, Staying updated on organizational, announcements, new product launches and events."
Learn HTML,applied science,"Learn HTML with this app for free. This HTML tutorial will teach you the latest standards of HTML. In every lesson, there are explanations, examples with the Try It Yourself functionality that help you effectively learn to code HTML."
Christmas Doll Cooking Cakes & Desserts- Bakery 🎂,others,Be a Professional Cakes master chef and cake boss in your bakery. Play this free Christmas Doll making sweet cakes bakery empire game and order as many cakes in baker's shop with free cakes delivery. Lets' open your own cakes bakery shop and be your own boss in food cooking recipes business. Offer quality food for your customers. Search best Cakes maker bakery near me and order your favorite delicious cake.
Fun2Learn Preschool Kindergarten Learning,art,"Kids can now learn to draw numbers and shapes. They can color the shapes however they want. They can also use virtual eraser to clean the drawing pad. Kids will also be able to learn to draw numbers, letters both small and capital letters."
English Alphabet. Letters,linguistics,Learn the English Alphabet with audio pronunciation easily. Tap to letter to play pronunciation.
Little Paradise English Medium School,others,"Bright school management system provides user-friendly dashboards with login access for administrator and staff. The various modules available in system facilitate all the processes of your institution, from admission of new students to generating transfer certificates when students complete their studies."
Concrete Technology,applied science,"This App lists 60 topics with detailed notes, diagrams, equations, formulascourse material, the topics are listed inchapters. The app is must have for all the engineering science studentsprofessionals. The App is designed for quick learning, revisions, references at the time of exams and interviews. Main topics Covered in the app are: Cement, Manufacturing process of cement, Chemical composition of Cement, Grades of Cement."
Augmented Reality Dinosaurs - myARgalaxy,natural sciences ,Augmented Reality games and apps provide an interactive viewing experience. Our AR cards heighten that experience by bringing it to the physical world around you. Our augmented reality dinosaur app features a series of dinosaur creatures to interact with. Discover popular and rare dinosaurs in our augmented reality experience13 Dinosaurs in Vol. 1
Starbox - kids to-do list & checklist for parents,social sciences ,"Motivate your child for successful study and daily tasks. Kids earn stars for various tasks created by mom or dad. They check star bank account at their phones. When balance allows, kids spend stars for ordering rewards from parents. First, Starbox will teach your children how to manage money. The child independently decides whether he wants to spend the stars on small awards or save for something big. Great way to teach kids to earn, save and spend. Secondly, independent financial management fosters independence and initiative in the child. He understands that the parent entrusted him with such an important decision for a reason, but because he knows that the child will cope. This will prepare children for adulthood, because over time thinking ""I am a person"" will become his habit."
Kids Vehicles: Construction Lite toddler puzzle,applied science,Interactive construction rigs for kids. Play with them like with die-cast model toys. This app containshigh detailed vehicles with interactive functions to play with: Wheel loader with working bucket. Road roller with emergency lighting. Articulated hauler with working open-box.
All Engineering Interview Questions | Answers,applied science,"Best app for all engineers and engineering students for Entry test, Interviews, Papers and etc. Must download and use for better Results."
Odd One Out,social sciences ,"Is a brain game for children agesto 6. It teaches to identify the odd one in a group and cross it out. While playing, little curious minds will evaluate elements, figure out patterns, and choose the odd one out. Children love games like this. They provide food for their natural curiosity. Colorful and simple pictures will be also of much interest. You will be surprised by your child’s answers. Children will try to compare the objects by very different characteristics including color, animate-inanimate, shape, etc. Changing the difficulty level, you can offer this game again and again! Children can never get enough of it."
California Unemployment App,social sciences ,With this app we will help you identify if you can apply for the unemployment in California and also clarify any doubts you may have. This app is also a guide that provides a brief introduction on how to receive the unemployment benefits and how to apply.
Simple Vocabulary Trainer,linguistics,"This vocabulary trainer enables you to practice of your own vocabulary words. All common languages, suchas French, Spanish, German and Latin, are supported. For this, your own words with translation of the respective language are entered into the vocabulary trainer. A grammatical supplement can also be added to the word. Learning methods like Writing, Speaking, Flash Cards and Multiple Choice make studying vocabulary and testing fun."
"Smart Syllabus ALP (6,7,8)",others,Dear students and teachers new short syllabus of Accelerated Learning Program (ALP) for class 6th to 8th is available in this app.
Vocabulary Book - Excel,linguistics,Is platform for memorizing vocabulary words. Functionality. One. Memorizationnot rote learning set. Two. Generalaudio learning set. Three. Sequentialrandom learning set. Four. Flashing learning. Five. Learning touch.
Biology,natural sciences ,"Is designed for multi-semester biology courses for science majors. It is grounded on an evolutionary basis and includes exciting features that highlight careers in the biological sciences and everyday applications of the concepts at hand. Instructors can customize the book, adapting it to the approach that works best in their classroom. Biology also includes an innovative art program that incorporates critical thinking and clicker questions to help students understand—and apply—key concepts."
Physiotherapy Dictionary,natural sciences ,"Its consists of precise and easy-to-understand meanings. The app gives detail description of meaning in different screen and also provides with short description on main screen only. User can search for any word also directly. Its completely Offline and can be used by students, clinicians and teachers in the field of physiotherapy. Further this app will consists of more detail description of words and information related to Physiotherapy."
SSC Science,others,Is the app for the English medium students of 10th standard of Gujarat Board for solving the MCQ questions of Science subject asked in the board examination. There are about 1500 MCQ questions as per the syllabus.
PALAK IAS,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more- a perfect on the go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
Dental Board Exam Questions NBDE Reviewer,natural sciences ,"Mobile pocket reviewer for students and reviewers who will take NBDE and other Dentist-related written exams. ModernInteractive design for your exam simulation experience, custom theme included."
Tuition App - Tuition Class Management System,others,Is made by professionals for integrated and ease the work of the employee and admin as well as the students. All the required information can be obtained at single place using a single mobile device.
"Bank Clerk Exam - SBI,IBPS",others,"Don't just read through books but make sure you have useful information to crack your IBPS Bank Clerk Exams. This app helps you prepare for your exams using scientifically designed tools in improve your performance and increase your confidence to face actual exam. Take Time Based tests for practice on the go to test your knowledge. Covers following subjects: Test of reasoning, Quantitative Aptitude, English, Marketing and Computer Knowledge, General Knowledge and General Awareness."
"Learn SEO, SMO, PPC and Digital Marketing course",social sciences ,This app contains digital marketing tutorials designed specifically for beginners who want to start their career in digital marketing but don't know from where they should start
Maths Game for Kids,math,"Help your kids learn math and numbers the right way with this collection of fun math games. Understanding counting, numbers, and mathematics are extremely important for children. From their toddler and preschool years until they’re in 1st and, 2nd grade. Kids need to pick up all sorts of math skills. It starts with learning numbers and understanding basic counting, then moves on to ascending and descending numbers, comparing numbers, and so on. There’s a lot to learn in these formative years, so anything parents can do to help supplement their child’s education is helpful."
English for kids,others,Is a way of learning English for kids or beginners. It makes learning English efficient and fun. Easy to learn vocabulary through pictures.
Campus Cover,others,"Is an all in one Institute Management System app that links the Institute, Teacher and Student together. The app has separate accounts for each user. The admin account allows the administrators to manage the institute, staff and students. It registers, monitors, tracks and display’s attendance of both teachers and students.The app provides salary information to staff and exam information to students. It allows students to check their fee status and study materials uploaded by their teachers. The app can be used by parents also. It keeps them, teachers and students informed through its SMS feature. Students that haven’t completed fees are sent a notification via SMS. The app has an added feature that allows users to print system reports via a wireless printer."
Learn English In 7 Days,linguistics,"Is an app that will help you for fluency in English withindays. For learning English, you have to read a lot. Read all of the contents of this app thoroughly. Other than reading, the best and perhaps the only way to increase your fluency in English, is to practice speaking and writing as much as you can."
J K Academy,others,This app was started with a mission to create ethical and intellectual students through qualitative education. Our goal is to provide equal study opportunities to all students who are part of this academy and improve the development of our students through quality teaching by being the first to adopt changes in the educational system and shape our teaching methodologies. consequently.
Traffic Signs Learning,social sciences ,Is best app to learn traffic signs of Pakistan in English and Urdu for driving license of cars and bikes. All Traffic Sings and other guidelines are described in English and Urdu with all necessary instructions available in English and Urdu language provided by City Traffic Police and Licensing Authorities.
Phone for Kids - All in One,linguistics,"The largest collection of kids games for toddlers and young kids in a single appso many learning games in one! ABC’s, colors, animal, directions. Toddlers and kids can get smarter through playing educational kids games. Learning the ABC’s, how to sing and learn directions is just some of the many things your kids can enjoy. The world famous Phone for Kids app is chock full of fantastic learning games to stimulate and educate young kids. "
English Irregular Verbs,linguistics,"Irregular verbs is a basic pattern of English Grammar. We start learning this topic from the very beginning. At first the list of irregular verbs has about 20 items than it increases to around 200. That means, that you need to learn all irregular verbs if you want to speak English correctly, and tedious memorization is the only way to learn all the words."
Rowan Mobile,others,Is the official app of Rowan University. Stay connected to Rowan from anywhere with Rowan Mobile.
UniHunt,others,"This application is a place for students who is interested in studying in the United Kingdom and United States of America to find the information about the universities including courses, entry requirements, fees, accommodation, and the highlight of scholarships and bursaries for international students. This application will also classify level of education into undergraduate, postgraduate taught, and postgraduate research. Furthermore, apart for universities information, there are some other special features such as upcoming events in different countries, online English grammar tests, visa application information, country information, and etc."
OIE Rinderpest Serious Game,natural sciences ,"The OIE developed a serious game that aims to maintain a level of awareness and vigilance related to clinical signs of rinderpest, to help ensure our world remains free from this eradicated disease by ensuring that the memory of it remains alive. This game is directed towards key players in animal health such as Veterinary students and practitioners, Laboratory practitioners, Veterinary paraprofessionals and Community animal health workers, so they are fully aware of the role that they still have to play in the rinderpest post-eradication era."
Computer Shortcut Keys | Learn PC Shortcut Keys,applied science,"In this Computer Shortcut Keys App, all Shortcut Keys are given in English Language and All in one Shortcut keys is an educational application that provides different shortcuts tricks so that you can increase your work speed. By using this Computer Shortcut Keys App offline You can use Keyboard Shortcuts keys instead of the mouse. This app is useful for learning computer keyboard shortcut keys."
PDF Reader Lite Version,others,This PDF Reader helps user to access all the pdf files. You dont have to search the files in File Manager. This is lite version appSo no need to worry about the phone storage. PDF Reader Extracts All pdf files from storage Automatically.
Kids Dua,social sciences ,"Is an interactive application for Muslim Kids to learnmemorize the daily Islamic Duas in the easiest way. In this application, Islamic Duas and supplications for everyday use are taught to children of different age groups with Word-by-Word recitation, translation, and transliteration method to help Muslim kids in learning the Arabic Duas easily. The app will help your kid in learning the most important Islamic duas for different set of daily activities such as Dua for waking up and sleeping, Dua before eating, drinking water and many more. The Word-by-Word feature will help the child to learn duas without any assistance as it excellently communicates with the kid to make him interested in learning to read, recite, and memorize the words of Duas, Kalmas and Namaz."
TExES Flashcards,others,"Using TExES Flashcard will help you learn faster and remember more in a shorter time by showing flashcards just before you will forget them. TExES Flashcards app has several learning modes: Study, Slide show, Matching, Memorize, Quiz to make the learning process for exam more exciting and fun."
Master Nim: Taekwondo Trainer,others,"The app is a great way to practice and learn the Taekwondo curriculum. Learning the Taekwondo terminology is often underrated by many practitioners and is difficult to integrate sufficiently in the weekly team practice, because the training if often focused on physical techniques, strength and flexibilityjust as it should. With this taekwondo app you can practice and strengthen your Taekwondo syllabus anywhere, when you have the time."
Québec Wildflowers,natural sciences ,"This App helps find and identify plants. When you give the App information about a plant, such as its location, flower color and the time of year, the App will quickly show you which plants match your selections. The App includes 2,625 species of plants found in Québec. Overall, 1,156 are ""Wildflowers"", 197 are shrubs, 116 are broadleaf trees, 21 are conifers, 23 are vines, 413 are grass-like, 105 are fern-like, 341 are moss-like, 28 are seaweed and 304 are lichen."
Merchant Of Venice Paraphrase,social sciences ,This app will contain a simplified and easy text of Merchant of Venice and will help the students who will appear for the class 10 ICSE. Now many dialogues and scenes will become easy for the students to access. App is under developement and all the rest act and scenes will be provide.
Learn advanced English conversation,linguistics,"Is the best English learning app that helps you can speak English confidently and fluently. This app developed to assist you in learning and passing exams like IELTS, TOEFL, and New TOEIC. English Conversation Practice is the best application that provides so many familiar phrases, such as huge collections of English conversations with various categories and relevant topics."
Vande Mataram Online Classes,others,Vande Mataram Online Classes App is the platform for the students that provides learning material according to the school curriculum. This app is very useful for students.
St. Joseph's Convent School JRC,others,"Is innovative approach for Communication between School Admin, Teachers and Parents.It will develop strong relationship among teacheradmin and parent. Parent can track the buses and will get notification on bus arrival. Parent can access homework and notice very quickly.Parent will able to see list of all holiday.Parent can also see the all video of subject.Parent can also check performance of their kids. Teacher can mark attendance of class. Teacher can send homework and also notice to class or particular student. Teacher can also approve the home work of their junior teacher.Teacher also able to see list of all holidays."
El-Nour Private School,others,"This application dedicated for Pioneers Educational Systems for making integration between the managerial System and the students’ parents. Parents can log in and see: Lessons table, Exam table, Leave permissions..."
iOS Interview Questions,social sciences ,"This App is helpful for all of us to try to understand the things in better mannerit will be helpful whether we are in search of job or in actual implementation in our projects. Here we can find keyword search, so that you can easily find the relevant answers for search query."
GATE EC Paper Solutions - Electronics and Comm,applied science,This is an android application that gives different GATE EC Engineering Paper Solutions of each year. This is solution is provided by different GATE Institutes of India.
CuriousJr - Coding for Kids,applied science,"Is the top mobile coding learning app. It is based on fun coding games to teach you the basics of programming, a very essential skill in today's world. We offer the best tech curriculum for you. We are transforming the learning process and to make you the creators of tomorrow. The future is bright for the technology creators as per the upcoming opportunities in technology. We teach the basic approach of app development, game development to beginners with the help of gamified learning and visual programming that keeps you excited to create more and more technical tools."
Pentecostal Tabernacle Int.,others,"Check out various content that interests you, such as our services via live stream, message archives, daily devotionals, and much more. You may listen to snippets of our songs, easily access the PentabRecords store, and make a donation. "
School Media,others,"This is the best and easy educational app designed for Kerala state syllabus. The content in the app is classified for ease of use. User can navigate to content via CLASS, SUBJECT AND UNIT. Through this app you can watch FIRST BELL ONLINE CLASSES, subject related VIDEO, OTHER ONLINE CLASSES and STUDY MATERIALS in PDF format. It is meant for Kerala government and aided/ un-aided school students, teachers and parents. This app help parents to make students engage in their studies like home tuition. This app covers topics of PRE SCHOOL, LP, UP, HS, HSS sections."
Mizo Alphabet (with Audio),linguistics,"Features: Lightweight, Capital lettersSmall letters, No flash plugin required, Ads free."
Bloomz,others,"Bloomz is the award-winning app that saves teachers lots of time in all parent communications, while creating a supportive classroom community. Make your life easier by consolidating all of your communications and coordination with parents. "
Mechanical Engineering Quiz,applied science,"Mechanical Engineering all Subjects Multiple Choice Questions with Answers FM,PRODUCTION,THRMODYNAMICS ETC"
6 Kalmas OFFLINE,social sciences ,TheKalmas of Islam is an application in which people can recite the Kalimas of Islam.Kalma app supports multi-tasking and will continue recitation when screen is OFF or when running in background mode.
SQL and PL/SQL Tutorial,applied science,Complete offline tutorial on Oracle SQL and PL/SQL covering all definitions and syntax with examples. This tutorials will help you to learn basic SQL and PL/SQL programming language and help you to understand the designing of database. SQL and PL/SQL topics are covered in this tutorial.
eALPHA,others,"Is a useful app that allows you to download your educational content and eBooks from an online LMS and use them offline. You can select not only individual Learning Objects from your online courses but also assignments prepared for you by your teacher. After your device is connected again, all your results will be synced with your LMS account. Currently eALPHA works with mCourser LMS."
Exercises and Python code examples,applied science,"Examples of solutions of exercises and practice problems in the Python programming language, including known algorithms (binary search, Euclidean algorithm, sieve of Eratosthenes, factorial calculation, Fibonacci series, finding the greatest common divisor and the least common multiple). Some examples contain detailed comments. Sections: linear algorithms, conditions, cycles, strings, lists, dictionaries, functions, files. Examples of using built-in functions of Python and methods of the base classesstrings, lists, dictionaries, sets, file objects."
Amazing Animal Facts OFFLINE,natural sciences ,"Did you know that Camels have three eye lids,  At 188 decibels, the whistling of blue whale is the loudest sound made by any animal on the planet, Crocodiles are color-blind, Slugs havenoses, Unlike a frog, a toad cannot jump, In ancient Egypt killing a cat was a crime that could be punished by death, Sharks can live up to 100 years."
Languent: Learn English with movies,linguistics,Are you having problems with listening to and speaking English? Learn your English conversation by watching your favorite movies or TV dramas. This app is the video player optimized for learning English conversation. Practice English through your favorite movies or dramas with Engtube every day to improve your speaking and listening quickly.
Apex Classes,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more a perfect on the go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
Bloomsburg University Mobile,others,The Bloomsburg University Mobile app gives Bloomsburg University students and faculty on-
Ceramah KH Anwar Zahid Offline 3,social sciences ,Kumpulan Ceramah Islam offline audio Pengajian dan Tausiyah Kh Anwar Zahid yang bisa diputar offline kapanpun dan dimanapun tanpa sambungan internet sekalipun.
"Math for Kids – Addition, Subtraction and Counting",math,"Math for KidsAddition, Subtraction, and Counting is an educational mobile game which is designed and developed for the kids of preschool and kindergarten to make them learn math in an easy and innovative way. Six math practices are included and those are Addition, Subtraction, learn to count, Compare the numbers, Arrange the numbers and Complete the pattern."
TestTalks,others,This is the most convenient way to access TestTalks on your phone. With this app you are always connected to the latest episodes and the show. You can also star your favorite episodes and save them to a list so you can easily enjoy them over and over. This app is complete access to TestTalks and if you're a fan of the show you won't want to be without it.
Pocket Hungarian,linguistics,"Is a free and easy way to learn the Hungarian language. The authentic audio helps you to practice pronunciation whilst the playful illustrations help with visualization and memorization of new words. This app is for everyone who would like to learn the Hungarian language to communicate with Hungarians or simply to connect with your roots. Quick, easy and simple. Download the free app and browse through the topics to find many useful expressions; from basic conversation to meal ordering in a restaurant."
Bluetooth Robo Car Controller,applied science,This is an simple App to control your Robot/Robotic Car using Bluetooth Module HC-05AVR Microcontroller with your Android Device. 
Quick Math,math,This application will help you to increase your math problem solving skill. Here you'll get infinite numbers of small equations which you have to solve in a limited time duration. There are three difficulty levels to test your position. Compare your participation with your previous scores and try to be better day by day.
Sanmish Life Sciences,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more a perfect on the go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
Neuroplay,social sciences ,"Is a small image recognition artificial neural network builder. It is not very powerful nor very feature-rich. Actually, it is deliberately simple and limited. It can only work with a maximum ofclasses. Its primary goal is to give an intuitive view of the inner-workings of neural networks. To help you understand what is going on when the networks is learning a new dataset and to visualize how every layer and unit sees the intermediate data."
Moral Vision Abdul Bari Animations,art,"Is a video production house that creates short animations, films, documentaries, videos on various socio-religious aspects, etc. All these aim at providing small daily duas for kids, basic moral teachings and inculcate ethical characteristic in people through clean permissible entertainment. Moral Vision creates primary video contents for online viewing on YouTube, Mobile phone Apps, etc."
Study Point By Jeetu Sir,others,"Is an online platform for managing data associated with its tutoring classes in the most efficient and transparent manner. It is a user-friendly app with amazing features like online attendance, fees management, homework submission, detailed performance reports and much more a perfect on the go solution for parents to know about their wards’ class details. It’s a great amalgamation of simple user interface design and exciting features; greatly loved by students, parents, and tutors."
One sitting Degree | Fast track Degree,others,"In India due to financial constraints students left their studies to earn money and get carried away with studies can get Bachelor Degree in One Sitting. It will help them in shaping up their Career. To solve the problems of these students, University has come up with One Sitting degree programs and after completing graduation, they are getting promotion and good amount of growth. Fast Track Course or Single sitting Degree are not only helping these working professionals but also helps students who left out or discontinued study but now wants to do Graduation in One Sitting in Delhi."
"Little Flower Group of School, Mau",others,"This app is very helpful app for parents,students,teachersmanagement to get or upload information about student. Once the app is installed on the mobile phone, student, parent, teacher or management starts getting or uploading information for student or staff attendance, homework, results, circulars, calendar, fee dues, library transactions, daily remarks, etc. The best part of school is that, it frees schools from mobile sms gateways which most of the times get choked or barred in case of emergency. Another interesting feature of the app is that the information till the last update can be viewed even if there is no internet connectivity on the mobile."
Sproutfy Parent,others,Is an education technology platform that helps schools automate and simplify their complex management activities enabling them to focus on student excellence. Sproutfy’s innovative technology fosters enhanced collaborative learning and directly affects the quality of education offered by institutions utilizing our technology.
English Ear Game,linguistics,"This app is developed for non-native English speakers. Get real English ear through this simple game. English Ear Game is a very simple game, listening to an English word and choose the right one from similar words as quickly and precisely as possible."
SRDI Fertilizer recommendation system,natural sciences ,Fertilizer recommendation system by SRDI
Triangle Solver Free,math,Triangle solver is a tool that allows you to calculate the unknown values of a triangle (sides and angles) as long as you have enough and necessary data for its solution.
Lcm - Gcf App,math,Is a convenient tool that helps you calculate the Greatest Common Factor (GCF) and the Least Common Multiple (LCM) between two or many numbers.
Super Heroes Coloring,art,"Has 44 pictures for coloring that will keep your child entertained while developing creativity like Spiderman, Batman, Superman, Captain America, Thor, Groot, Hulk, Superwoman, Antman, Ironman, Cyclops, Wolverine, Catwoman, Batgirl, Captain Marvel, Joker,paw patrol... If you like all this heroes sure you will like our pictures HD."
Class Calc Graphing & Statistics Calculator,math,"Statistical, graphical, scientific and matrix calculator est-safe. All the equivalent functions of a Ti 84, X84 calculator, Casio calculator or Hp calculator."
English Sinhala Translator,linguistics,"Download the largest Sinhala English dictionary with over lakhs of Sinhala and English words. Meaning of words are provided with definition. Best app for easy and fast translations, which can be used like a dictionary. If you are a student, tourist or travelerit will helps you to learn the language."
My Book of Nursery Rhymes,linguistics,This is the best app for your kids to begin their journey into the world of Nursery Rhymes. It is a compilation of the most loved Nursery Rhymes of all times with lyrics and eye catching illustrations with a wonderful audio. It has a kid friendly user interface to help kids use this app on their own.
Monkiri,social sciences ,"We aim to educate our users on financial concepts in a useful and engaging way, allowing them to easily utilize different financial products and services."
AWS Certified Solutions Architect Associate,art,"Quiz App with score tracker, Score card, countdown timer, highest score saved. See Answers after completing the quiz for each category. This AWS Cloud Certification App helps you prepare for the SAA-C03 certification with up to date Questions and Answers."
Mobile Repairing Course,applied science,"Mobile Repair Course in HindiEnglish App Provides you with many cell phone repairing in Hindi tips such as practical troubleshooting, mobile unlocking so that you can learn it and earn money. This app also provide you with step by step guidance on mobile software repairing course in Hindi and flashing. After learning from this app you can also start Mobile repair shop or service center."
Hot Seat,others,Is a general knowledge application designed to educate and test you on world facts. It is equipped with surplus questions and answers about the world. The questions are designed with four options each. Each question has a virtual prize when answered correctly. It is extraordinarily fun and exciting. This is a nice companion when you are idle and also a good friend when you want to know why and how.
Learning Times Tables For Kids,math,"Make learning times tables for kids a fun task with this amazing app. The app includes interesting maths game, multiplication games, and maths quiz. Let your kids enjoy the process of learning maths efficiently and creatively. With the help of the learning times table for kids app, studying maths has become quite easy. This educational app will help your kids to the tables fromto 10. You will see the improvement in your child’s grade yourself once you start using this learning app. The tables app comes with audio support. All the tables will be displayed on the screen and audio will be played in the back. While your child is speaking, the spoken row will get highlighted which will make the overall process a fun task."
Lao Learn English,linguistics,"Lao Learning English communication application supports learning to communicate with him intuitive, effective, and not boring on the smartphone. Application helps you improve your ability to communicate in English, support learning, study, travel, study abroad, export labor."
Power of Hypothesis Testing,social sciences ,"This application computes the power of a hypothesis test (HT) for the mean and draws the involved Normal distributions. It is very useful for fully understanding the theory and practice of HT. The application languages are Spanish, English, Chinese and French. "
Central Community Schools,others,The event section shows a list of events throughout the district. Users can add an event to your calendar to share the event with friends and family with one tap. Select your student’s organization within the app and make sure you never miss a message.
STX Live Class,others,"ThinkMerit Classroom learning management system provides education institutes with a tool which solved the pain point of the student, faculty and institute management. We provide online classes with auto attendance, examination proctoring solution and e-learning portal."
Mindframes Flashcards (Trial),others,"If you are looking for an effective method to memorize large amounts of information, this flashcard app may be for you. It is based on the Leitner system and designed to enable you to make optimal use of your study time."
TE Learners,others,"TE Learners app brings the experience of our next-gen technology to handheld devices. Never miss a note or even an e-book, no matter where you are. The TE Learners app brings the power of accessing all your program resources from your phone or laptop. Stay on top of your executive or certification program even if you don’t have access to a computer!"
SKILLSHORT,others,"The whole purpose of education is to turn mirrors into windows. We strive to work towards the mental and academic growth of every learner, in consideration with their interests, goals and aptitude."
Gyan Deep Public School,others,Gyandeep Public School Varanasi Student
Match The Picture Shadow: Kids Matching Game,art,"This classic shadow matching game is simple to play and loved by all children.  Match the picture shadow is having 1000+ pictures to match with its shadow. This shadow matching game has 100 levels. Matching Picture Shadow is a real fun game. Match Shadow is the coolest game of its kind for kids. I hope kids will enjoy this simple and funny shadow matching game. Find the correct shadow, education puzzle game for kids with animals,vehicles."
